year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2016,24/05/2016,237885,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"Owendoher Lodge, Ballyboden Rd, Rathfarnham, Dublin 16, Ireland",53.2842769,-6.2967525,South Dublin
2016,13/12/2016,378855,Second-Hand,greater than or equal to 125 sq metres,"10 Brackenstown Rd, Swords Glebe, Swords, Co. Dublin, Ireland",53.4565719,-6.2242453,Fingal
2016,26/10/2016,276000,Second-Hand,,"The Orchard, Leixlip Rd, Lucan, Co. Dublin, Ireland",53.3553383,-6.453176,South Dublin
2016,02/06/2016,315000,Second-Hand,,"Cherbury Mews, Booterstown Ave, Williamstown, Blackrock, Co. Dublin, Ireland",53.3022587,-6.1994942,DLR
2013,31/07/2013,143000,Second-Hand,,"26 Kilcarrig Ave, Fettercairn, Dublin 24, D24 N1F2, Ireland",53.2916821,-6.3947134,South Dublin
2016,30/03/2016,285000,Second-Hand,,"96 St Joseph's Rd, Whitehall, Dublin 12, D12 FC97, Ireland",53.3098552,-6.3311074,South Dublin
2014,26/09/2014,634361,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"Apartment 11, Rexdon Court, Sandymount Ave, Dublin 4, Ireland",53.3264703,-6.2235461,Dublin City
2015,28/01/2015,252313,Second-Hand,,"Sandyford, Dublin, Ireland",53.2719967,-6.2207197,DLR
2016,21/07/2016,390500,Second-Hand,,"14 Obelisk Ave, St Augustine's Park, Blackrock, Co. Dublin, A94 R8N1, Ireland",53.2879316,-6.1836741,DLR
2012,13/01/2012,152000,Second-Hand,,"Unit 24 The Cubes Offices, The Cubes Offices Beacon South Quarter, Sandyford, Dublin 18, Ireland",53.2775885,-6.2155982,DLR
2012,01/08/2012,212500,Second-Hand,,"59 Oakwood Rd, Ballymun, Dublin, Ireland",53.3961805,-6.2881467,Dublin City
2014,18/08/2014,340000,Second-Hand,,"10 The Rise, Carrickmines Manor, Dublin 18, D18 E038, Ireland",53.2482853,-6.1783266,DLR
2012,20/01/2012,600000,Second-Hand,,"17 Offington Dr, Howth Demesne, Dublin 13, D13 P8Y1, Ireland",53.3870245,-6.0958882,Fingal
2012,19/09/2012,85000,Second-Hand,,"3 Shamrock Pl, North Dock, Dublin 1, D01 R9W9, Ireland",53.3553447,-6.2447224,Dublin City
2014,04/11/2014,170000,Second-Hand,,"64 Rossmore Rd, Drumfinn, Dublin 10, D10 YN62, Ireland",53.3457355,-6.3554629,Dublin City
2017,28/04/2017,320000,Second-Hand,,"93 Thomas Moore Rd, Walkinstown, Dublin 12, D12 K6R6, Ireland",53.3197456,-6.3291391,Dublin City
2014,01/05/2014,315000,Second-Hand,,"31 Ratra Park, Ashtown, Dublin, Ireland",53.3662848,-6.3203391,Dublin City
2016,02/02/2016,310000,Second-Hand,,"37 Binn Eadair View, The Crescent, Burrow, Dublin 13, D13 F6C3, Ireland",53.3904637,-6.1196425,Fingal
2015,01/05/2015,132787,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"Apartment 74, Burnell Green, Malahide Rd, Northern Cross, Dublin 17, Ireland",53.4055046,-6.1790651,Dublin City
2015,01/10/2015,220000,Second-Hand,,"Belfry Hall, Citywest Rd, Citywest, Dublin, Ireland",53.2780293,-6.4183737,South Dublin
2015,01/05/2015,106230,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"Apartment 142, Burnell Court, Malahide Rd, Northern Cross, Dublin 17, Ireland",53.4047914,-6.1790387,Dublin City
2014,18/09/2014,442500,Second-Hand,,"15 Greentrees Dr, Perrystown, Dublin 12, D12 Y962, Ireland",53.3085843,-6.3223772,South Dublin
