year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2012,2012-06-15,132500,Second-Hand,>=38<125,"Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",53.3554387,-6.2411408,Dublin City
2012,2012-12-14,115000,Second-Hand,>=38<125,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,2012-12-14,160000,Second-Hand,>=38<125,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,2012-12-14,157000,Second-Hand,>=38<125,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,2012-10-19,105682,Second-Hand,>=38<125,"Hansfield, Dublin, Ireland",53.3936042,-6.4445423,Fingal
2012,2012-12-10,103756,Second-Hand,<38,"13 Barnwell Ln, Hansfield, Dublin 15, D15 C7XP, Ireland",53.3914329,-6.4411086,Fingal
2012,2012-07-13,151000,Second-Hand,>=38<125,"13 Barnwell Terrace, Hansfield, Dublin 15, D15 PEC8, Ireland",53.3914795,-6.4435797,Fingal
2012,2012-09-25,211453,Second-Hand,>=38<125,"Turvey Ave, Donabate, Co. Dublin, Ireland",53.4909271,-6.1747357,Fingal
2012,2012-04-27,300000,New,>=38<125,"13 Cedar Ave, Ridgewood, Swords, Co. Dublin, K67 FN26, Ireland",53.4480347,-6.2453542,Fingal
2012,2012-09-13,95000,Second-Hand,>=38<125,"Hollystown, Co. Dublin, Ireland",53.4285822,-6.3820454,Fingal
2012,2012-09-07,524229,Second-Hand,>=38<125,"13 Claremont Ave, Honeypark, Dublin, Ireland",53.2827019,-6.1466374,DLR
2012,2012-01-25,250850,Second-Hand,<38,"Bloomfield Ave, Dublin 4, Ireland",53.3258924,-6.2453826,Dublin City
2012,2012-11-01,286343,Second-Hand,>=38<125,"Rathcoole, Co. Dublin, Ireland",53.2817307,-6.466167,South Dublin
2012,2012-12-21,145374,Second-Hand,>=38<125,"Kensington Lodge, Rochestown Ave, D̼n Laoghaire, Dublin, Ireland",53.2780899,-6.1535517,DLR
2012,2012-04-05,88105,Second-Hand,>125,"130 Hampton Wood Ave, Hampton Wood, Dublin 11, D11 V2W6, Ireland",53.4053677,-6.2860156,Dublin City
2012,2012-06-26,164950,New,>=38<125,"14 Barnwell Dr, Hansfield, Dublin 15, D15 F5PT, Ireland",53.3913024,-6.4441935,Fingal
2012,2012-01-24,100440,Second-Hand,>=38<125,"Belarmine Hall, Belarmine Ave, Belarmine, Dublin 18, Ireland",53.2616219,-6.2216501,DLR
2012,2012-11-09,211454,New,>=38<125,"Beverton Wood, Beaverstown, Donabate, Co. Dublin, Ireland",53.4908849,-6.159376,Fingal
2012,2012-09-19,151375,New,<38,"Booterstown Wood, Booterstown Ave, Merrion, Blackrock, Co. Dublin, Ireland",53.2992523,-6.204387,DLR
2012,2012-10-04,164950,Second-Hand,>=38<125,"Hansfield, Dublin, Ireland",53.3936042,-6.4445423,Fingal
