year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2017,13/02/2017,275000,New,,"27 Botanic Ave, Botanic, Dublin 9, D09 H0A3, Ireland",53.372048,-6.2666005,Dublin City
2014,22/12/2014,521995,New,,"Ailesbury Rd, Dublin, Co. Dublin, Ireland",53.3200049,-6.2219016,Dublin City
2017,13/02/2017,339207,New,greater than or equal to 125 sq metres,"Miltonsfields, Swords, Co. Dublin, Ireland",53.4543462,-6.2244447,Fingal
2014,14/10/2014,280000,New,,"13 St Laurence's Grove, Chapelizod, Dublin 20, D20 PV00, Ireland",53.3457661,-6.3456043,Dublin City
2016,31/08/2016,295000,New,greater than or equal to 38 sq metres and less than 125 sq metres,"28 Castlegrange Ave, Castaheany, Dublin, Ireland",53.3993558,-6.4301994,Fingal
2016,16/05/2016,265000,New,,"18 Colthurst Cres, Ballyowen, Lucan, Co. Dublin, K78 EH70, Ireland",53.3471291,-6.4211078,South Dublin
2015,09/03/2015,330000,New,,"23 Kelly's Bay Parade, Ardla, Skerries, Co. Dublin, K34 HV05, Ireland",53.5814574,-6.1312393,Fingal
2015,19/10/2015,267500,New,,"76 Newtownpark Ave, Newtown Castlebyrn, Blackrock, Co. Dublin, A94 W5T1, Ireland",53.2904632,-6.1728028,DLR
2013,06/09/2013,180320,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Sandyford, Dublin, Ireland",53.2719967,-6.2207197,DLR
2014,23/06/2014,167401,New,greater than or equal to 38 sq metres and less than 125 sq metres,"25 Castleland Park View, Kilsough North, Balbriggan, Co. Dublin, K32 FV12, Ireland",53.5996904,-6.1755261,Fingal
2015,22/05/2015,285000,New,,"Woodview Court, Glenalbyn Rd, Stillorgan, Dublin, Ireland",53.2861799,-6.1956525,DLR
2013,19/12/2013,65000,New,,"94 Ratoath Ave, Finglas South, Dublin 11, D11 Y2N8, Ireland",53.3880946,-6.3186963,Dublin City
2016,16/12/2016,310000,New,,"32 Rathbeale Cres, Commons West, Swords, Co. Dublin, K67 V093, Ireland",53.4609226,-6.2298046,Fingal
2015,06/03/2015,147500,New,,"15 Willow Wood Downs, Hartstown, Dublin 15, D15 W9HX, Ireland",53.3903302,-6.41483,Fingal
2014,12/03/2014,175000,New,,"Cranford Court, Stillorgan Rd, Priesthouse, Dublin 4, Ireland",53.3103832,-6.2161727,DLR
2015,23/09/2015,167400,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Swords Rd, Malahide, Co. Dublin, Ireland",53.4500909,-6.1853883,Fingal
2014,24/11/2014,170000,New,,"8 Mount Brown, Ushers, Dublin, Ireland",53.3411684,-6.3003285,Dublin City
2016,17/11/2016,245000,New,greater than or equal to 38 sq metres and less than 125 sq metres,"R111, Rathmines, Co. Dublin City, DUBLIN 6, Ireland",53.3308003,-6.2584469,Dublin City
2014,15/07/2014,162000,New,,"125 Millrace Rd, Pelletstown, Dublin, Ireland",53.3725214,-6.3354695,Fingal
2013,17/06/2013,287000,New,,"6 Bayview Rise, Hackettsland, Killiney, Co. Dublin, A96 YF85, Ireland",53.2440633,-6.1197789,DLR
2016,21/10/2016,800000,New,,"4 Havelock Terrace, Dublin 4, D04 Y037, Ireland",53.3369033,-6.2290409,Dublin City
