year,postal_code,price,property_size_description,formatted_address,latitude,longitude,geo_county
2012,,125000,greater than or equal to 38 sq metres and less than 125 sq metres,"2, Castlegate House, Adamstown Ave, Adamstown Castle, Lucan, Co. Dublin, Ireland",53.3375978,-6.4620437,South Dublin
2012,,153303.96,greater than 125 sq metres,"11 The Paddocks Rise, Adamstown, Lucan, Co. Dublin, K78 E970, Ireland",53.3484798,-6.4628221,South Dublin
2012,,335000,greater than or equal to 38 sq metres and less than 125 sq metres,"110 Galtrim Grange, Broomfield, Malahide, Co. Dublin, Ireland",53.4379607,-6.1551775,Fingal
2012,Dublin 11,88106,greater than or equal to 38 sq metres and less than 125 sq metres,"110 St Margaret's Rd, Ballymun, Dublin, Ireland",53.4063885,-6.289165,Dublin City
2012,,115000,greater than or equal to 38 sq metres and less than 125 sq metres,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,Dublin 18,521585.9,greater than 125 sq metres,"112 Foxrock Grove, Kill of the Grange, Dublin 18, D18 Y3K8, Ireland",53.2776254,-6.1664575,Dn Laoghaire-Rathdown
2012,,184000,greater than or equal to 38 sq metres and less than 125 sq metres,"Parkgate Business Centre, Parkgate St, Phoenix Park, Dublin 8, Ireland",53.3479009,-6.2944841,Dublin City
2012,,442500,greater than or equal to 38 sq metres and less than 125 sq metres,"114 Carr's Mill, Rahillion, Donabate, Co. Dublin, Ireland",53.4938992,-6.138087,Fingal
2012,,115000,greater than or equal to 38 sq metres and less than 125 sq metres,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,,127753,greater than or equal to 38 sq metres and less than 125 sq metres,"117 Adamstown Ave, Finnstown, Lucan, Co. Dublin, Ireland",53.3376075,-6.4615805,South Dublin
2012,,1057268.71,greater than or equal to 38 sq metres and less than 125 sq metres,"118 Bloomfield Ave, Dublin, Ireland",53.3258425,-6.245531,Dublin City
2012,Dublin 24,66079.3,greater than or equal to 38 sq metres and less than 125 sq metres,"Apartment 204, Citywest Plaza, Citywest Dr, Fortunestown, Saggart, Co. Dublin, Ireland",53.2829118,-6.4227919,South Dublin
2012,Dublin 3,86500,greater than or equal to 38 sq metres and less than 125 sq metres,"Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",53.3554387,-6.2411408,Dublin City
2012,Dublin 6,339207,greater than or equal to 38 sq metres and less than 125 sq metres,"11D Grosvenor Ln, Dublin 6, D06 A3X6, Ireland",53.3239504,-6.2715365,Dublin City
2012,,360000,less than 38 sq metres,"11C Grosvenor Ln, Dublin 6, D06 C7R0, Ireland",53.3239295,-6.2716063,Dublin City
2012,,105727,greater than or equal to 38 sq metres and less than 125 sq metres,"2, Castlegate House, Adamstown Ave, Adamstown Castle, Lucan, Co. Dublin, Ireland",53.3375978,-6.4620437,South Dublin
2012,,136520,less than 38 sq metres,"12 Barnwell Dr, Hansfield, Dublin 15, D15 HH6Y, Ireland",53.3914015,-6.4441418,Fingal
2012,,207929.51,greater than or equal to 38 sq metres and less than 125 sq metres,"Beverton Wood, Beaverstown, Donabate, Co. Dublin, Ireland",53.4908849,-6.159376,Fingal
2012,,610000,greater than 125 sq metres,"12 Claremont Ave, Honeypark, Dublin, Ireland",53.2827019,-6.1466374,Dn Laoghaire-Rathdown
2012,Dublin 4,1081057,greater than or equal to 38 sq metres and less than 125 sq metres,"12 Bloomfield Ave, Edward Square, Dublin 4, D04 A0P4, Ireland",53.3267768,-6.2455133,Dublin City
2012,,158000,greater than or equal to 38 sq metres and less than 125 sq metres,"12 Heathfield Crescent, Heathfield Green, Kildonan, Dublin 11, D11 H7R2, Ireland",53.3951134,-6.3211287,Fingal
2012,Dublin 15,148000,greater than or equal to 38 sq metres and less than 125 sq metres,"12 Latchford Pl, Castaheany, Clonee, Co. Dublin, D15 YF6K, Ireland",53.3990967,-6.4326494,Fingal
2012,Dublin 16,299000,greater than or equal to 38 sq metres and less than 125 sq metres,"Stocking Well Row, Ballycullen, Dublin, Ireland",53.2727917,-6.3193542,South Dublin
2012,,365639,greater than 125 sq metres,"12 The Lawn, Boden Park, Dublin 16, Ireland",53.281316,-6.3062011,South Dublin
2012,,209691.62,greater than or equal to 38 sq metres and less than 125 sq metres,"12 Osprey, Barnageeragh Cove, Skerries, Co. Dublin, Ireland",53.5843844,-6.1340345,Fingal
2012,Dublin 11,145000,greater than or equal to 38 sq metres and less than 125 sq metres,"12 Heathfield Cl, Heathfield Green, Cappoge, Dublin 11, D11 Y6V6, Ireland",53.395169,-6.3262411,Fingal
2012,,159125,greater than or equal to 38 sq metres and less than 125 sq metres,"Kensington Lodge, Rochestown Ave, Dún Laoghaire, Dublin, Ireland",53.2780899,-6.1535517,Dn Laoghaire-Rathdown
2012,,105727,greater than 125 sq metres,"Hampton Wood Rd, Hampton Wood, Dublin 11, Ireland",53.4048535,-6.2881422,Dublin City
2012,,125000,greater than or equal to 38 sq metres and less than 125 sq metres,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,,220264,greater than or equal to 38 sq metres and less than 125 sq metres,"Trimbleston, Goatstown Rd, Friarland, Dublin 14, Ireland",53.2983908,-6.2315228,Dn Laoghaire-Rathdown
2012,,305506.61,greater than 125 sq metres,"124 Carr's Mill, Beaverstown Road, Rahillion, Donabate, Co. Dublin, K36 VY84, Ireland",53.4940866,-6.1367118,Fingal
2012,,286343.6,greater than or equal to 38 sq metres and less than 125 sq metres,"125 Carr's Mill, Beaverstown Road, Rahillion, Donabate, Co. Dublin, K36 YC53, Ireland",53.4940794,-6.1366217,Fingal
2012,,132500,greater than or equal to 38 sq metres and less than 125 sq metres,"Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",53.3554387,-6.2411408,Dublin City
2012,,115000,greater than or equal to 38 sq metres and less than 125 sq metres,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,,160000,greater than or equal to 38 sq metres and less than 125 sq metres,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,,157000,greater than or equal to 38 sq metres and less than 125 sq metres,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,,105682.81,greater than or equal to 38 sq metres and less than 125 sq metres,"Hansfield, Dublin, Ireland",53.3936042,-6.4445423,Fingal
2012,,103756.75,less than 38 sq metres,"13 Barnwell Ln, Hansfield, Dublin 15, D15 C7XP, Ireland",53.3914329,-6.4411086,Fingal
2012,,151000,greater than or equal to 38 sq metres and less than 125 sq metres,"13 Barnwell Terrace, Hansfield, Dublin 15, D15 PEC8, Ireland",53.3914795,-6.4435797,Fingal
2012,,211453,greater than or equal to 38 sq metres and less than 125 sq metres,"Turvey Ave, Donabate, Co. Dublin, Ireland",53.4909271,-6.1747357,Fingal
2012,,3.00E+05,greater than or equal to 38 sq metres and less than 125 sq metres,"13 Cedar Ave, Ridgewood, Swords, Co. Dublin, K67 FN26, Ireland",53.4480347,-6.2453542,Fingal
2012,,95000,greater than or equal to 38 sq metres and less than 125 sq metres,"Hollystown, Co. Dublin, Ireland",53.4285822,-6.3820454,Fingal
2012,,524229,greater than or equal to 38 sq metres and less than 125 sq metres,"13 Claremont Ave, Honeypark, Dublin, Ireland",53.2827019,-6.1466374,Dn Laoghaire-Rathdown
2012,,250850,less than 38 sq metres,"Bloomfield Ave, Dublin 4, Ireland",53.3258924,-6.2453826,Dublin City
2012,,286343.61,greater than or equal to 38 sq metres and less than 125 sq metres,"Rathcoole, Co. Dublin, Ireland",53.2817307,-6.466167,South Dublin
2012,,145374.44,greater than or equal to 38 sq metres and less than 125 sq metres,"Kensington Lodge, Rochestown Ave, Dún Laoghaire, Dublin, Ireland",53.2780899,-6.1535517,Dn Laoghaire-Rathdown
2012,,88105.73,greater than 125 sq metres,"130 Hampton Wood Ave, Hampton Wood, Dublin 11, D11 V2W6, Ireland",53.4053677,-6.2860156,Dublin City
2012,Dublin 15,164950,greater than or equal to 38 sq metres and less than 125 sq metres,"14 Barnwell Dr, Hansfield, Dublin 15, D15 F5PT, Ireland",53.3913024,-6.4441935,Fingal
2012,Dublin 18,100440.52,greater than or equal to 38 sq metres and less than 125 sq metres,"Belarmine Hall, Belarmine Ave, Belarmine, Dublin 18, Ireland",53.2616219,-6.2216501,Dn Laoghaire-Rathdown
2012,,211454,greater than or equal to 38 sq metres and less than 125 sq metres,"Beverton Wood, Beaverstown, Donabate, Co. Dublin, Ireland",53.4908849,-6.159376,Fingal
